#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
129000	278.00000000060095	-362946.21242102626	304.5293492459367	1.060193046229862	8.44	2:06:32
130000	280.0000000006105	-362519.4529261278	298.13469640154517	1.056671652987753	8.44	2:06:11
131000	282.00000000062005	-363084.63296360226	298.06721761981464	1.061901495235684	8.44	2:05:51
132000	284.0000000006296	-363560.96789839125	296.68609606544834	1.0591747802182097	8.44	2:05:30
133000	286.00000000063915	-363193.86031942145	297.72161199634655	1.0564732953423743	8.44	2:05:09
134000	288.0000000006487	-362928.97888350347	301.22915249256704	1.0603789159917034	8.44	2:04:49
135000	290.00000000065825	-363110.6431473693	298.3319210976782	1.0557105794156996	8.45	2:04:28
136000	292.0000000006678	-363244.3309452115	299.13174308301024	1.0535226472670451	8.45	2:04:07
137000	294.00000000067735	-363150.3957314124	299.71832789577	1.0629371088978028	8.45	2:03:46
138000	296.0000000006869	-363833.5725735413	298.97994978977266	1.0606303840922497	8.45	2:03:26
139000	298.00000000069645	-363532.56745268864	301.17602617925314	1.060595814670573	8.45	2:03:05
140000	300.000000000706	-362515.3207615007	299.9939605731582	1.0616051902652421	8.45	2:02:45
141000	302.00000000071554	-362070.1683748597	300.3794298534789	1.0558190770155593	8.45	2:02:25
142000	304.0000000007251	-363967.4107372481	295.9457528797204	1.0606383743449932	8.45	2:02:04
143000	306.00000000073464	-363477.5406957744	298.6830938770514	1.0628489033764925	8.45	2:01:44
144000	308.0000000007442	-362041.0779453191	300.90413498994076	1.059264787980239	8.45	2:01:23
145000	310.00000000075374	-363590.67655142455	301.61533205408017	1.0615709597152772	8.45	2:01:03
146000	312.0000000007633	-362469.30874992826	300.9502051336588	1.054731839858429	8.44	2:00:43
147000	314.00000000077284	-362181.44097940467	297.70137154569437	1.0586531719961192	8.44	2:00:23
148000	316.0000000007824	-363161.10427112057	298.46693051192443	1.0611768419057945	8.44	2:00:03
149000	318.00000000079194	-363299.5802624784	299.63895079459445	1.0682552574806587	8.44	1:59:43
